Removed Pin From Net: NetName=NetR59_1 Pin=R59-1
Added Pin To Net: NetName=GND Pin=C47-1
Added Pin To Net: NetName=GND Pin=C48-1
Added Pin To Net: NetName=GND Pin=C49-1
Added Pin To Net: NetName=GND Pin=C50-1
Added Pin To Net: NetName=3.3V Pin=R59-1
Added Pin To Net: NetName=NetR59_1 Pin=R60-1
Added Pin To Net: NetName=GND Pin=R66-2
Added Pin To Net: NetName=GND Pin=R68-2
Added Pin To Net: NetName=GND Pin=R73-2
Added Pin To Net: NetName=GND Pin=R74-2
Added Pin To Net: NetName=GND Pin=R79-2
Added Pin To Net: NetName=GND Pin=R81-2
Added Pin To Net: NetName=GND Pin=R86-2
Added Pin To Net: NetName=GND Pin=R87-2
Added Pin To Net: NetName=GND Pin=T1-2
Added Pin To Net: NetName=GND Pin=T2-2
Added Pin To Net: NetName=GND Pin=U6-A2
Added Pin To Net: NetName=GND Pin=U6-A8
Added Pin To Net: NetName=GND Pin=U6-A14
Added Pin To Net: NetName=GND Pin=U6-A20
Added Pin To Net: NetName=3.3V Pin=U6-A29
Added Pin To Net: NetName=GND Pin=U6-A30
Added Pin To Net: NetName=GND Pin=U6-B6
Added Pin To Net: NetName=GND Pin=U6-B12
Added Pin To Net: NetName=GND Pin=U6-B18
Added Pin To Net: NetName=3.3V Pin=U6-B23
Added Pin To Net: NetName=GND Pin=U6-B24
Added Pin To Net: NetName=GND Pin=U6-C1
Added Pin To Net: NetName=GND Pin=U6-C7
Added Pin To Net: NetName=GND Pin=U6-C13
Added Pin To Net: NetName=GND Pin=U6-C19
Added Pin To Net: NetName=GND Pin=U6-D1
Added Pin To Net: NetName=3.3V Pin=U6-D2
Added Pin To Net: NetName=GND Pin=U6-D7
Added Pin To Net: NetName=GND Pin=U6-D14
Added Pin To Net: NetName=GND Pin=U6-D19
Added Pin To Net: NetName=3.3V Pin=U6-D20
Added Pin To Net: NetName=GND Pin=U6-D27
Added Pin To Net: NetName=3.3V Pin=U6-D28
Added Pin To Net: NetName=GND Pin=U7-5
Added Pin To Net: NetName=GND Pin=U7-10
Added Pin To Net: NetName=GND Pin=U7-13
Added Pin To Net: NetName=GND Pin=U7-18
Change Net Name : Old Net Name=NetR59_1 New Net Name=+5V
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=RGB(255, 110, 110)
